Ticker,Cluster_Label,Return_1D,Volatility_5D,Volatility_10D,Volume_Spike,Volume_Trend,Momentum_3D,Momentum_5D,Trend_5D,High_Low_Range,Close_Open_Change
AAPL,Breakout Activity,-0.0008862139812270884,0.012256025853829384,0.012719312783877699,1.5219406475925974,0.9085833395813744,-0.9773731846963252,-0.45707111973916786,-0.0014871472924182783,0.02335603596303267,-0.00024963922068263364
AAPL,Mild Bearish,-0.007587076078205405,0.011604493751285538,0.011832663742300307,0.9907734806459516,0.058680615818717974,-2.913741885914522,-1.107918593462776,-0.005302380290840331,0.01876182488756231,-0.004898789727495209
AAPL,Mild Bullish,0.00487954998715215,0.011735390050139537,0.012623116202265215,0.9234383013196903,-0.058971236078505504,2.4255488360369637,1.1888752690067992,0.006080850755900922,0.01672335472364412,0.003266916205184784
AAPL,Neutral,-0.00013730615974161253,0.011280124531573019,0.010604393606415487,0.8742598502949699,-0.08867541236619764,0.0,-2.54376220703125,-0.008620975013248044,0.016568608473785124,0.0010286177762116131
AAPL,Sideways,0.0003643625534147932,0.009332961193785266,0.011145037783369505,0.90396528186766,-0.0909530292357505,0.3355976451526976,0.2640706842595889,0.0011932356893261378,0.014181559307830981,0.0015785718477830367
AAPL,Strong Downtrend,-0.006965942590020545,0.01408068622000147,0.014062901917904233,1.0171401015190347,0.10441749848624458,-5.202902709238627,-8.747259918754622,-0.040303307664246474,0.021536242546309398,-0.00417796242151185
AAPL,Strong Uptrend,0.007638923941913831,0.012994851365328108,0.01393701247079201,1.0198329784786964,0.11570274632517832,4.612915339432364,7.875807153897023,0.039032971677108126,0.018177345452192063,0.0050897483069135205
AAPL,Volatile Bear,-0.02787529191132793,0.03539863394673491,0.038740238859651076,1.1006650404857026,0.4469481678794429,-7.399827844956345,-6.158703972311586,-0.02305862137245017,0.03916367620862269,-0.010411615617222605
AAPL,Volatile Bull,0.029941977075605794,0.03443251795868958,0.036969068011938874,0.9815209765684779,0.22841062101051202,10.483506702241447,10.998668125697547,0.056293374895296185,0.03847166191734153,0.021603640146168827
AMD,Breakout Activity,-0.003898310342343625,0.01971197500542831,0.0193920568783544,1.4867866929789015,0.95447370080259,-0.6180007934570313,-0.4559982299804773,-0.0029282930879246383,0.05936395137104914,-0.012808751037666896
AMD,Mild Bearish,-0.006706817506433321,0.017670997190424063,0.01952496130425649,0.9542886535790727,-0.030619061764288975,-2.239500045776365,-0.06500091552734304,-2.1154085245189692e-05,0.03164135358620536,-0.004474027170834003
AMD,Mild Bullish,0.008715052353217265,0.018443977259504318,0.019159122371365876,0.9797687763026453,0.014667616171071656,2.3144820640827066,0.6462078752188861,0.004659137553519743,0.03254242290058646,0.002857906314419287
AMD,Sideways,-0.0002146037716808052,0.017108278006743843,0.01810375454239712,0.9022006822978262,-0.08106432874090604,-0.013635461980648245,0.41681879216974366,0.002758012139199048,0.025647910907003715,-0.0025516745155291553
AMD,Strong Downtrend,-0.008890684584144718,0.01990344456031595,0.02029820163366639,0.9923702847086114,0.02099772143390128,-4.241071519397555,-6.498928887503488,-0.04940713144659726,0.03377088967466267,-0.006758065932578857
AMD,Strong Uptrend,0.010436825046133144,0.019540089580701088,0.020387968507777347,1.0705204346273796,0.22110707993571735,5.358640652258419,8.165922590829794,0.05681424597573354,0.03345253144957073,0.00489341930334306
AMD,Volatile Bear,-0.025090879191045676,0.033339503495922844,0.035702165150543676,0.9735937209444825,0.046339849808215074,-3.3264334903043857,-2.7735657130970672,-0.013892172528038368,0.042526716055026066,-0.016024327233764415
