Ticker,Model,Type,RMSE,MAE,R2,Accuracy,Precision,Recall,F1,ROC_AUC
NKE,Random Forest,Classification,,,,0.5802,0.4598,0.6557,0.5405,0.5846
NKE,SVM,Classification,,,,0.5926,0.439,0.2951,0.3529,0.61
NKE,Naive Bayes,Classification,,,,0.5988,0.4524,0.3115,0.3689,0.5473
NVDA,Linear Regression,Regression,0.0376,0.0293,0.001,,,,,
NVDA,Ridge,Regression,0.0376,0.0293,0.0012,,,,,
NVDA,Decision Tree,Classification,,,,0.463,0.4808,0.6024,0.5348,0.5011
NVDA,Random Forest,Classification,,,,0.5556,0.539,0.9157,0.6786,0.5731
NVDA,SVM,Classification,,,,0.5185,0.5161,0.9639,0.6723,0.5287
NVDA,Naive Bayes,Classification,,,,0.5247,0.5197,0.9518,0.6723,0.6486
TSLA,Linear Regression,Regression,0.0455,0.0352,-0.0367,,,,,
TSLA,Ridge,Regression,0.0455,0.0352,-0.0357,,,,,
TSLA,Decision Tree,Classification,,,,0.4815,0.3478,0.1039,0.16,0.4579
TSLA,Random Forest,Classification,,,,0.5679,0.6061,0.2597,0.3636,0.5436
TSLA,SVM,Classification,,,,0.5309,0.5294,0.1169,0.1915,0.567
TSLA,Naive Bayes,Classification,,,,0.4815,0.4426,0.3506,0.3913,0.4969
XOM,Linear Regression,Regression,0.0289,0.0238,-0.3577,,,,,
XOM,Ridge,Regression,0.0288,0.0238,-0.3511,,,,,
XOM,Decision Tree,Classification,,,,0.5062,0.6092,0.5354,0.5699,0.5166
XOM,Random Forest,Classification,,,,0.463,0.5909,0.3939,0.4727,0.4481
XOM,SVM,Classification,,,,0.4136,0.5312,0.3434,0.4172,0.4218
XOM,Naive Bayes,Classification,,,,0.4691,0.6,0.3939,0.4756,0.4699
